"","Text"
"0","Thank you Michele!"
"1","My Administration will do everything in its power to prevent weak mayors and lawless cities from taking Federal dollars while they let anarchists harm people, burn buildings, and ruin lives and businesses. We’re putting them on notice today. @RussVought45"
"2","https://twitter.com/whitehouse/status/1301219505583149056"
"3","Mayor Wheeler just got harassed out of his own home in Portland by so-called “friendly protesters”. The Anarchists, Agitators and Looters treat him HORRIBLY, even though he is so nice and respectful to them. Criminals only understand strength!"
"4","The Dow Jones Industrial just closed above 29,000! You are so lucky to have me as your President With Joe Hiden’ it would crash "
"5","THANK YOU NORTH CAROLINA!"
"6","Can you believe what’s happening!? They give Joe Hiden’ the questions, and he reads them an answer!"
"7","Will be landing shortly in the Great State of North Carolina. See you soon!"
"8","When a Kennedy loses a Democrat Primary in Massachusetts, by a lot, it just shows how far LEFT that party has gone. Joe Hiden’ will never be able to hold them back. Life, 2nd A, Energy, Religion, Jobs and the Economy, would be totally obliterated!"
"9","Will soon be heading to Wilmington, North Carolina, and then will be going to Battleship North Carolina. Look forward to seeing all of my friends!"
"10","2016 was AMAZING, but we never had this kind of ENTHUSIASM!"
"11","We had FAR more people (many millions) watching us at the RNC than did Sleepy Joe and the DNC, and yet an ad just ran saying the opposite. This is what we’re up against. Lies. But we will WIN!"
"12","The Beauty Parlor owner must really dislike Crazy Nancy Pelosi. Turning her in, on tape, is a really big deal. She probably treats him like she treats everyone else...And she strongly supported a Kennedy who just lost in, of all places, Massachusetts!"
"13","Joe Biden is a Low Energy Candidate the likes of which we have never seen before. The last thing our country needs is a Low Energy Individual, especially when surrounded by High Energy Chess Players scattered all over the world. He’s back in his basement now - no schedule!"
"14","Crazy Nancy Pelosi is being decimated for having a beauty parlor opened, when all others are closed, and for not wearing a Mask - despite constantly lecturing everyone else. We will almost certainly take back the House, and send Nancy packing!"
"15","Seriously, is this what our great USA wants as its leader?"
"16","Joe Biden is not on the side of Law Enforcement, and that was spectacularly evident on my very successful trip yesterday to Kenosha. We solved the problem quickly, and it was very much appreciated by the people of Wisconsin. Joe Biden wouldn’t know where to begin - a bad record!"
"17","Rigged Election?"
"18","The Unsolicited Ballots Scam is their only hope. Will be the most corrupt election in history, by far!"
